Nick                          S34     S33     S32     S31     S30     S29     S28     S27     S26     S25     S24     S23     S22     S21     S20     S19     S18     S17     S16     S15     S14     S13     S12     S11     S10      S9      S8      S7      S6      S5      S4      S3      S2      S1
johnGalt                   2487.9  2487.9  2487.9  2487.9  2487.9  2487.9  2487.9  2487.9  2487.9  2487.9  2487.9  2487.9  2501.7  2515.4  2529.2  2543.0  2563.7  2533.9  2488.3  2488.3  2488.3  2488.3  2488.3  2488.3  2488.3  2488.3  2488.3  2488.3  2488.3  2488.3  2488.3  2488.3  2488.3  2488.3
Babyshamble                2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0  2485.0
Wolfhtt                    2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.7  2470.7  2470.7  2470.7  2470.7  2470.7  2470.7  2470.7  2470.7  2470.7  2470.7  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8  2470.8
pmilian                    2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2467.5  2421.9  2416.1  2425.5  2426.7  2355.1  2283.6  2167.8  2113.9  2119.0  2124.1  2185.2  2185.2  2185.2  2185.2  2185.2  2185.2  2185.2  2185.2  2185.2
Marianna                   2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.2  2461.2  2461.2  2461.2  2461.2  2461.2  2461.2  2461.2  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1  2461.1
ptitged                    2460.8  2460.8  2460.8  2460.8  2460.8  2418.3  2423.1  2381.9  2361.4  2313.2  2300.4  2304.9  2314.2  2305.4  2296.5  2287.6  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8  2278.8
crzmshrm                   2460.7  2452.5  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1  2443.1
Larion0807                 2455.0  2398.2  2254.1  2117.4  1996.2  1893.1  1820.0  1819.9  1819.9  1819.9  1819.9  1819.8  1819.8  1819.8  1819.8  1819.8  1819.7  1819.7  1819.8  1819.8  1819.8  1819.8  1819.8  1819.8  1819.9  1819.9  1819.9  1819.9  1820.0  1820.0  1820.0  1820.0  1820.0  1820.1
Mariannna                  2454.9  2394.4  2407.4  2461.7  2453.2  2444.7  2436.1  2427.6  2448.8  2489.1  2508.0  2503.0  2498.1  2493.2  2502.8  2491.2  2479.6  2468.0  2456.4  2444.9  2433.3  2421.7  2410.1  2398.5  2386.9  2360.9  2380.2  2399.5  2418.8  2438.0  2431.7  2407.0  2385.8  2415.6
darek                      2451.5  2451.5  2451.5  2451.5  2451.5  2451.5  2451.5  2451.5  2451.5  2451.5  2451.4  2451.4  2451.4  2451.4  2451.4  2451.4  2451.4  2503.9  2554.7  2571.0  2572.9  2581.0  2581.0  2581.0  2581.0  2581.1  2581.1  2581.1  2581.1  2581.1  2581.1  2581.1  2581.1  2581.1
Olx                        2448.7  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.4  2435.4  2435.4  2435.4  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3  2435.3
Beetle_D_Barty             2444.1  2389.5  2389.5  2389.5  2389.5  2389.5  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.6  2389.5  2389.5  2389.5  2389.5  2389.5  2389.5
chociaż                    2442.5  2442.5  2442.5  2442.5  2442.5  2442.5  2442.5  2442.5  2442.5  2442.6  2442.6  2442.6  2442.6  2442.6  2442.6  2442.6  2442.6  2414.4  2386.3  2358.2  2330.1  2302.0  2273.9  2245.8  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6
